dataset,esn,unit,flight_cycle,datetime,operator,depart_icao,destination_icao,hpc_eff_mod,hpc_flow_mod,tra,t2,t24,t30,t50,p2,p15,p30,nf,nc,epr,ps30,phi,nrf,nrc,bpr,farb,htbleed,nf_dmd,pcnfr_dmd,w31,w32,airport_icao,destination_latitude,destination_longitude,depart_latitude,depart_longitude,distance_between_airport_miles,?esn,rul
test_FD001,999126,26,1,12/31/2017 18:33,AXM,VTBD,VTUV,-0.0027,6.00E-04,100,518.67,642,1582.88,1399.92,14.62,21.61,554.54,2388.02,9060.88,1.3,47.38,522.55,2387.98,8147.17,8.3468,0.03,392,2388,100,38.82,23.3876,VTUV,16.117,103.774,13.914,100.606,260.4932639,999126,162
test_FD001,999126,26,2,12/31/2017 19:59,AXM,VTUV,VTBD,-0.0029,2.00E-04,100,518.67,642.35,1589.01,1398.46,14.62,21.61,554.11,2387.96,9063.16,1.3,47.21,521.85,2388.01,8146.58,8.4159,0.03,390,2388,100,39,23.3793,VTBD,13.914,100.606,16.117,103.774,260.4932639,999126,162
test_FD001,999126,26,3,12/31/2017 21:44,AXM,VTBD,VMMC,8.00E-04,1.00E-04,100,518.67,642.69,1590.16,1398.4,14.62,21.61,554.39,2387.99,9057.29,1.3,47.16,522.34,2388.05,8144.6,8.4444,0.03,391,2388,100,39.2,23.339,VMMC,22.149,113.591,13.914,100.606,1024.492969,999126,162
test_FD001,999126,26,4,1/1/2018 0:50,AXM,VMMC,VTBD,-0.0026,5.00E-04,100,518.67,641.76,1583.37,1389.66,14.62,21.61,553.59,2387.99,9064.94,1.3,47.19,522.03,2388,8147.98,8.3986,0.03,392,2388,100,38.97,23.3931,VTBD,13.914,100.606,22.149,113.591,1024.492969,999126,162
test_FD001,999126,26,5,1/1/2018 4:25,AXM,VTBD,VTSP,0.002,5.00E-04,100,518.67,642.54,1591.71,1403.84,14.62,21.61,554.51,2388.01,9062.58,1.3,47.38,522.04,2388,8142.07,8.4332,0.03,391,2388,100,39.11,23.3904,VTSP,8.113,98.309,13.914,100.606,429.9926051,999126,162
test_FD001,999126,26,6,1/1/2018 6:25,AXM,VTSP,VTBD,-0.0032,-1.00E-04,100,518.67,641.98,1592.68,1396.83,14.62,21.61,554.44,2388,9061.77,1.3,47.4,522.3,2387.98,8145.16,8.4348,0.03,392,2388,100,38.83,23.3659,VTBD,13.914,100.606,8.113,98.309,429.9926051,999126,162
test_FD001,999126,26,7,1/1/2018 8:37,AXM,VTBD,VTCC,9.00E-04,3.00E-04,100,518.67,642.06,1583.81,1395.99,14.62,21.61,553.65,2388.02,9063.44,1.3,47.29,522.5,2388.09,8140.98,8.4034,0.03,392,2388,100,38.97,23.4343,VTCC,18.771,98.963,13.914,100.606,352.8103276,999126,162
test_FD001,999126,26,8,1/2/2018 8:52,AXM,VTBD,VOTR,0.0035,4.00E-04,100,518.67,642.06,1583.4,1402.21,14.62,21.61,554.12,2388.03,9064.77,1.3,47.13,522.02,2388.02,8138.82,8.3913,0.03,392,2388,100,38.89,23.3488,VOTR,10.766,78.715,13.914,100.606,1492.874488,999126,162
test_FD001,999126,26,9,1/5/2018 2:37,AXM,VTBD,WSSS,-0.0012,-1.00E-04,100,518.67,641.68,1587.24,1405.59,14.62,21.61,553.93,2388.04,9061.31,1.3,47.28,522.36,2388.04,8145.24,8.4326,0.03,393,2388,100,38.96,23.4282,WSSS,1.359,103.989,13.914,100.606,897.7408822,999126,162
test_FD001,999126,26,10,1/5/2018 3:55,AXM,VTBD,WSSS,-0.0031,7.00E-04,100,518.67,642.24,1584.6,1401.89,14.62,21.61,554.06,2388.06,9056.59,1.3,47.27,522.3,2388.05,8142.45,8.3981,0.03,391,2388,100,38.94,23.4429,WSSS,1.359,103.989,13.914,100.606,897.7408822,999126,162
test_FD001,999126,26,11,1/5/2018 6:53,AXM,WSSS,VTBD,-4.00E-04,6.00E-04,100,518.67,642.08,1589.42,1396.55,14.62,21.61,554.76,2388.02,9069.76,1.3,47.23,522.59,2387.98,8150.18,8.4049,0.03,391,2388,100,38.97,23.3776,VTBD,13.914,100.606,1.359,103.989,897.7408822,999126,162
